questions,lang,keywords
How often did Jane Fonda marry?,en,"Jane Fonda, marry, how often"
Wie oft hat Jane Fonda geheiratet?,de,"Jane Fonda, heiraten, wie oft"
¿Cuántas veces ha estado casada Jane Fonda?,es,"Jane Fonda, casada, cuántas veces"
Quante volte si è sposata Jane Fonda?,it,"Jane Fonda, sposata, quante volte"
Combien de fois s'est mariée Jane Fonda?,fr,"Jane Fonda, marriages, nombre de fois"
Hoe vaak is Jane Fonda getrouwd?,nl,"Jane Fonda, getrouwd, hoe vaak"
Cât de des s-a măritat Jane Fonda?,ro,"Jane Fonda, mărita, cât de des"
Which books by Kerouac were published by Viking Press?,en,"book, Kerouac, publish, Viking Press"
Welche Bücher von Kerouac wurden von Viking Press verlegt?,de,"Buch, Kerouac, verlegen, Viking Press"
¿Qué libros de Kerouac han sido publicados por Viking Press?,es,"libro, Kerouac, publicado, Viking Press"
Quali libri di Kerouac furono pubblicati da Viking Press?,it,"libro, Kerouac, pubblicare, Viking Press"
Quels lives de Kerouac ont été publiés par Viking Press?,fr,"lives de Kerouac, publiés, Viking Press"
Welke boeken van Jack Kerouac werden uitgegeven door Viking Press?,nl,"boek, Jack Kerouac, uitgever, Viking Press"
Ce cărți de Kerouac a fost publicate de Viking Press?,ro,"carte, Kerouac, publica, Viking Press"
What is the official website of Tom Cruise?,en,"Tom Cruise, official website"
Was ist die offizielle Website von Tom Cruise?,de,"Tom Cruise, offizielle Website"
¿Cuál el la página de Web oficial de Tom Cruise?,es,"Tom Cruise, página de Web oficial"
Qual è il sito internet ufficiale di Tom Cruise?,it,"Tom Cruise, sito internet ufficiale"
Quel est le site web officiel de Tom Cruise?,fr,"site web officiel, Tom Cruise"
Wat is de officiële website van Tom Cruise?,nl,"officiële website, Tom Cruise"
Care este website-ul oficial al lui Tom Cruise?,ro,"Tom Cruise, website oficial"
Which U.S. state has the highest population density?,en,"state, USA, population density, highest"
Welcher Staat in den USA hat die höchste Bevölkerungsdichte?,de,"Staat, USA, Bevölkerungsdichte, höchste"
¿Que estado de los estados unidos de america tiene la mayor densidad de población?,es,"estado, estados unidos de america, densidad de población"
Quale stato americano ha la densità di popolazione maggiore?,it,"stato, Stati Uniti d'America, maggiore densità di popolazione"
Quel état des Etats-Unis a la plus haute densité de population?,fr,"densité de population, état des Etats-Unis"
Welke deelstaat van de Verenigde Staten heeft de hoogste bevolkingsdichtheid?,nl,"deelstaat van de Verenigde Staten, hoogste bevolkingsdichtheid"
Ce stat American are cea mai mare densitate a populației?,ro,"stat, Statele Unite ale Americii, densitatea populației, cea mai mare"
Who created Wikipedia?,en,"Wikipedia, created"
Wer hat Wikipedia gegründet?,de,"Wikipedia, gründen"
¿Quién creó Wikipedia?,es,"Wikipedia, creador"
Chi ha creato Wikipedia?,it,"Wikipedia, creatore"
Qui est le créateur de Wikipedia?,fr,"créateur, Wikipedia"
Wie heeft Wikipedia opgericht?,nl,"Wikipedia, oprichter"
Cine a creat Wikipedia?,ro,"Wikipedia, creat"
