questions,lang,keywords
Give me all cosmonauts.,en,cosmonauts
تمام فضانوردان روس را لیست کن.,fa,فضانوردان، روس
Gib mir alle Kosmonauten.,de,Kosmonauten
Dame todas las cosmonautas.,es,cosmonautas
Dammi tutte le cosmonaute.,it,cosmonaute
Donnes-moi tous les cosmonautes.,fr,cosmonautes
Geef alle kosmonauten.,nl,kosmonauten
Dă-mi toți cosmonauții.,ro,cosmonauți
In which country does the Ganges start?,en,"Ganges, start, country"
گنگ از کدام کشور شروع می شود؟,fa,گنگ، کشور، شروع
In welchem Land entspringt der Ganges?,de,"Ganges, entspringen, Land"
¿En qué país nace el Ganges?,es,"Ganges, país, orígen"
In quale stato nasce il Gange?,it,"Gange, stato, origine"
Dans quel pays commence le Gange?,fr,"pays, commence, Gange"
In welk land ontspringt de Ganges?,nl,"ontspringt, Ganges"
Din ce țară izvorăște Ganga?,ro,"Gangele, izvor, țară"
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,en,"movie, Worst Case Scenario, cinema, Netherlands"
فیلم ورست کیس سناریو از کی در هلند نمایش داده خواهد شد؟,fa,فیلم، ورست کیس سناریو، هلند، نمایش
Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?,de,"Film, Worst Case Scenario, Kino, Niederlande"
¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,es,"película, Worst Case Scenario, cines, páises bajos"
Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?,it,"film, Worst Case Scenario, cinema, Paesi Bassi"
Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?,fr,"Worst Case Scenario, cinémas néerlandais"
Wanneer komt de film Worst Case Scenario in Nederland in de bioscoop?,nl,"film, Worst Case Scenario, bioscoop, Nederland"
Când va fi filmul Worst Case Scenario în cinematografele din Olanda?,ro,"film, Worst Case Scenario, cinematograf, Olanda"
Which German cities have more than 250000 inhabitants?,en,"city, Germany, inhabitants, more than 250000"
چه شهرهایی در آلمان بیشتر از 250000 نفر سکنه دارند؟,fa,شهر، آلمان، بیشتر از 250000، سکنه
Welche deutschen Städte haben mehr als 250000 Einwohner?,de,"Stadt, Deutschland, Einwohner, mehr als 250000"
¿Qué ciudades alemanas tienen más de 250000 habitantes?,es,"cuidad, Alemania, habitantes, más de 250000"
Quali città tedesche hanno più di 250000 abitanti?,it,"città, Germania, abitanti, più di 250000"
Quelles villes allemandes ont plus de 250000 habitants?,fr,"villes, Allemagne, habitants, plus de 250000"
Welke Duitse steden hebben meer dan 250000 inwoners?,nl,"stad, Duitsland, inwoners, meer dan 250000"
Ce orașe germane au mai mult de 250000 de locuitori?,ro,"oraș, Germania, locuitori, mai mult de 250000"
Who was John F. Kennedy's vice president?,en,"John F. Kennedy, vice president"
چه کسی معاون جان اف. کندی بود؟,fa,معاون، جان اف. کندی
Wer war der Vizepräsident unter John F. Kennedy?,de,"John F. Kennedy, Vizepräsident"
¿Quién fué el vicepresidente de John F. Kennedy?,es,"John F. Kennedy, vicepresidente"
Chi fu il vicepresidente di John F. Kennedy?,it,"John F. Kennedy, vicepresidente"
Qui était le vice-président de John F. Kennedy?,fr,"John F. Kennedy, vice-président"
Wie was de vicepresident onder John F. Kennedy?,nl,"John F. Kennedy, vicepresident"
Cine a fost vicepreședintele lui John F. Kennedy?,ro,"John F. Kennedy, vicepreședinte"
Who is the mayor of Tel Aviv?,en,"Tel Aviv, mayor"
چه کسی شهردار تلاویو است؟,fa,شهردار، تلاویو
Wer ist der Bürgermeister von Tel Aviv?,de,"Tel Aviv, Bürgermeister"
¿Quién es el alcalde de Tel Aviv?,es,"Tel Aviv, alcalde"
Chi è il sindaco di Tel Aviv?,it,"Tel Aviv, sindaco"
Qui est le maire de Tel Aviv?,fr,"Tel Aviv, maire"
Wie is de burgemeester van Tel Aviv?,nl,"Tel Aviv, burgemeester"
Cine este primarul din Tel Aviv?,ro,"Tel Aviv, primar"
How many students does the Free University in Amsterdam have?,en,"Free University, Amsterdam, students"
دانشگاه آزاد در آمستردام چه تعداد دانشجو دارد؟,fa,دانشگاه آزاد، آمستردام، دانشجو
Wieviele Studenten hat die Freie Universität in Amsterdam?,de,"Freie Universität, Amsterdam, Studenten"
¿Cuántos estudiantes tiene la Universidad Libre de Amsterdam?,es,"Universidad Libre, Amsterdam, estudiantes"
Quanti studenti ci sono nella Libera Università di Amsterdam?,it,"Libera Università, Amsterdam, studenti"
Combien d'étudiants a l'université libre d'Amsterdam?,fr,"Université libre, Amsterdam, étudiants"
Hoeveel studenten heeft de Vrije Universiteit in Amsterdam?,nl,"Vrije Universiteit, Amsterdam, studenten"
Câți studenți are Universitatea Liberă din Amsterdam?,ro,"Universitatea Liberă, Amsterdam, studenți"
What is the second highest mountain on Earth?,en,"mountain, second highest"
دومین کوه بلند روی زمین کدام است؟,fa,دومین بلند، کوه
Was ist der zweithöchste Berg der Erde?,de,"Berg, zweithöchster"
¿Cuál es la segunda montaña más alta de la tierra?,es,"montaña, seguna más alta"
Qual è la seconda montagna più alta sulla Terra?,it,"montagna, seconda più alta"
Quelle est la deuxième plus haute montagne de la Terre?,fr,"montagne, deuxième plus haute"
Wat is de op één na hoogste berg ter wereld?,nl,"berg, op één na hoogste"
Care este al doilea cel mai înalt munte de pe Pământ?,ro,"munte, al doilea cel mai înalt"
Give me all professional skateboarders from Sweden.,en,"professional, skateboarder, Sweden"
تمام اسکیت بازهای حرفه ای اهل سوئد را لیست کن.,fa,اسکیت باز، حرفه ای، سوئد
Gib mir alle Profiskateboarder aus Schweden.,de,"Profiskateboarder, Schweden"
Dame todos las skateboarders profesionales de Suecia.,es,"skateboarder profesional, Suecia"
Dammi tutti gli skateboarders professionisti della Svezia.,it,"skateboarders professionisti, Svezia"
Donne-moi tous les skateboarders professionnels de Suède.,fr,"skateboarders professionnels, Suède"
Noem alle professionele skateboarders uit Zweden.,nl,"skateboarder, professioneel, Zweden"
Dă-mi toți skateboarderii profesioniști din Suedia.,ro,"profesionist, skateboarder, Suedia"
When was Alberta admitted as province?,en,"Alberta, admit, province"
کی آلبرتا به عنوان استان پذیرفته شد؟,fa,آلبرتا، استان، پذیرفته
Wann wurde die Provinz Alberta gegründet?,de,"Provinz, Alberta, gegründet"
¿Cúando fué fundada la provincia de Alberta?,es,"provincia, Alberta, fundada"
Quando Alberta è stata ammessa come provincia?,it,"Alberta, ammessa, provincia"
Quand a Alberta reçu le status de province?,fr,"Alberta, reçu, province"
Wanneer werd de provincie Alberta gesticht?,nl,"provincie, Alberta, gesticht"
Când a fost Alberta recunoscută ca provincie?,ro,"Alberta, recunoaște, provincie"
To which countries does the Himalayan mountain system extend?,en,"Himalayan mountain system, extend, country"
رشته کوه هیمالیا در چه کشورهایی امتداد دارد؟,fa,رشته کوه هیمالیا، کشور، امتداد
Über welche Länder erstreckt sich der Himalaya?,de,"Himalaya, erstrecken, Land"
¿Por qué países se extiende el Himalaya?,es,"Himalaya, extiende, países"
Su quali stati si estende la catena montuosa dell'Himalaya?,it,"catena montuosa dell'Himalaya, estendersi, stati"
Quels sont les pays chevauchés par l'Himalaya?,fr,"Himalaya, chevauchés, pays"
Over welke landen strekt de Himalaya zich uit?,nl,"Himalaya, land, uitstrekken"
Peste ce țări se întinde lanțul munților Himalaya?,ro,"lanțul munților Himalaya, întinde, țară"
Give me a list of all bandleaders that play trumpet.,en,"bandleader, play, trumpet"
تمام رهبران گروه که ترومپت می نوازند را لیست کن.,fa,رهبران گروه، ترومپت، می نوازند
"Gib mir eine Liste aller Bandleader, die Trompete spielen.",de,"Bandleader, spielen, Trompete"
Dame una lista de todos los líderes de un grupo que tocan la trompeta.,es,"líder de grupo, tocar, trompeta"
Dammi la lista di tutti i direttori di orchestra che suonano la tromba.,it,"direttori di orchestra, suonare, tromba"
Donne-moi une liste de tous les chefs d'orchestre qui jouent trompette.,fr,"chef d'orchestre, jouer, trompette"
Geef me een lijst van alle bandleider die trompet spelen.,nl,"bandleider, spelen, trompet"
Dă-mi o listă a tuturor conducătorilor de formații care cântă la trompetă.,ro,"conducător de formație, cântă, trompetă"
Which countries have more than ten caves?,en,"country, cave, more than ten"
چه کشورهایی بیشتر از ده غار دارند؟,fa,کشور، بیشتر از ده، غار
In welchen Ländern gibt es mehr als zehn Höhlen?,de,"Land, Höhle, mehr als zehn"
¿Qué países tienen más de diez cuevas?,es,"país, cuevas, más de diez"
Quali nazioni hanno più di dieci grotte?,it,"nazione, grotta, più di dieci"
Quels pays ont plus de dix grottes?,fr,"pays, grottes, plus de dix"
Welke landen hebben meer dan tien grotten?,nl,"land, grotten, meer dan tien"
Ce țări au mai mult de zece peșteri?,ro,"țară, peșteră, mai mult de zece"
What is the total amount of men and women serving in the FDNY?,en,"total amount, men, women, serve, FDNY"
تعداد کل مردان و زنان شاغل در سازمان آتش نشانی نیویورک چقدر است؟,fa,تعداد کل، مردان، زنان، شاغل، سازمان آتش نشانی نیویورک
Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?,de,"Männer, Frauen, arbeiten, New York, Berufsfeuerwehr"
¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,es,"hombres, mujeres, bomberos, Nueva York"
Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?,it,"totale, uomini, donne, prestare servizio, dipartimento dei vigili del fuoco di New York"
Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?,fr,"hommes, femmes, sapeurs-pompiers professionnels de New York"
Wat is het totale aantal vrouwen en mannen dat werkt bij de brandweer van New York?,nl,"mannen, vrouwen, brandweer, New York"
Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?,ro,"număr total, bărbați, femei, membri, Departamentul de Pompieri din New York"
Who produces Orangina?,en,"produce, Orangina"
چه کسی اورنجینا را تولید می کند؟,fa,اورنجینا، تولید
Wer stellt Orangina her?,de,"herstellen, Orangina"
¿Quién produce Orangina?,es,"Orangina, productor"
Chi produce l'Orangina?,it,"Orangina, produttore"
Qui produit Orangina?,fr,"produire, Orangina"
Wie is de producent van Orangina?,nl,"producent, Orangina"
Cine produce Orangina?,ro,"produce, Orangina"
Who is the Formula 1 race driver with the most races?,en,"Formula 1, race driver, races, most"
چه کسی راننده فرمول 1 با بیشترین مسابقه است؟,fa,راننده، فرمول 1، بیشترین، مسابقه
Wer ist der Formel-1-Fahrer mit den meisten Rennen?,de,"Formel 1, Rennfahrer, Rennen, die meisten"
¿Quién es el conductor de Formula 1 con más carreras?,es,"Fconductor, órmula 1, carreras, más"
Qual è il pilota di Formula 1 con più gare?,it,"Formula 1, pilota, maggior numero di gare"
Quel est le pilote de Formule 1 qui a gagné le plus de courses?,fr,"Formule 1, pilote, plus de courses"
Wie is de Formule 1-coureur met de meeste races op zijn naam?,nl,"Formule 1, coureur, races, de meeste"
Cine este pilotul de curse Formula 1 cu cele mai multe curse?,ro,"Formula 1, pilot de curse, cele mai multe"
Give me all world heritage sites designated within the past two years.,en,"world heritage site, designate, past two years"
میراث جهانی که در طول دو سال گذشته ثبت شده اند را لیست کن.,fa,میراث جهانی، دو سال گذشته، ثبت
"Gib mir alle Welterbestätten, die in den vergangenen zwei Jahren aufgenommen wurden.",de,"Welterbestätte, aufnehmen, vergangene zwei Jahre"
¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?,es,"patrimonios de la humanidad, reconocidos, últimos dos años"
Dammi tutti i siti designati patrimoni dell'umanità negli ultimi due anni.,it,"patrimoni dell'umanità, designare, ultimi due anni"
Donne-moi tous les patrimoines mondiaux qui ont été inscrits pendant les derniers deux ans.,fr,"patrimoines mondiaux, inscrits, derniers deux ans"
Noem alle plaatsen op de Werelderfgoedlijst die in de laatste twee jaar zijn toegevoegd.,nl,"Werelderfgoed, laatste twee jaar, toevoegen"
Dă-mi toate siturile de patrimoniu mondial desemnate in ultimii doi ani.,ro,"situri de patrimoniu mondial, desemna, ultimii doi ani"
Who is the youngest player in the Premier League?,en,"player, Premier League, youngest"
[چه کسی جوان ترین بازیکن لیگ برتر است؟,fa,جوان ترین، بازیکن، لیگ برتر
Wer ist der jüngste Spieler in der Premier League?,de,"Spieler, Premier League, jüngste"
¿Quién es el jugador más jóven de la Premier League?,es,"jugador, más jóven, Premier League"
Chi è il giocatore più giovane della Premier League?,it,"giocatore, Premier League, più giovane"
Quel est le joueur le plus jeune de la Premier League?,fr,"joueur, Premier League, plus jeune"
Wie is de jongste speler in de Premier League?,nl,"speler, jongste, Premier League"
Cine este cel mai tânăr jucător din Premier League?,ro,"juător, Premier League, cel mai tânăr"
Give me all members of Prodigy.,en,"member, Prodigy"
تمام اعضای پرادیجی را لیست کن.,fa,اعضا، پرادیجی
Gib mir alle Bandmitglieder von Prodigy.,de,"Bandmitglied, Prodigy"
Dame todos los miembros de la banda Prodigy.,es,miembros de la banda Prodigy
Dammi tutti i membri dei Prodigy.,it,"membri, Prodigy"
Donne-moi tous les membres de Prodigy.,fr,"members, Prodigy"
Noem alle leden van Prodigy.,nl,"leden, Prodigy"
Dă-mi toții membrii Prodigy.,ro,"membru, Prodigy"
What is the longest river?,en,"river, longest"
طولانی ترین رود کدام است؟,fa,طولانی ترین، رود
Was ist der längste Fluss?,de,"Fluss, längster"
¿Cuál es el río más largo?,es,"río, más largo"
Qual è il fiume più lungo?,it,"fiume, più lungo"
Quel est le cours d'eau le plus long?,fr,"cours d'eau, plus long"
Wat is de langste rivier?,nl,"rivier, langste"
Care este cel mai lung fluviu?,ro,"fluviu, cel mai lung"
Does Breaking Bad have more episodes than Game of Thrones?,en,"Breaking Bad, episodes, more than, Game of Thrones"
آیا بریکینگ بد از گیم آف ترونز قسمت های بیشتری دارد؟,fa,بریکینگ بد، گیم آف ترونز، قسمت، بیشتر
Hat Breaking Bad mehr Episoden als Game of Thrones?,de,"Breaking Bad, Episoden, mehr als, Game of Thrones"
¿Tiene Breaking Bad más episodios que Game of Thrones?,es,"Breaking Bad, episodios, más que, Game of Thrones"
Breaking Bad ha più episodi di Game of Thrones?,it,"Breaking Bad, eposido, più di, Game of Thrones"
A Breaking Bad plus d'épisodes que Game of Thrones?,fr,"Breaking Bad, épisodes plus que, Game of Thrones"
Heeft Breaking Bad meer afleveringen dan Game of Thrones?,nl,"Breaking Bad, afleveringen, meer dan, Game of Thrones"
Are Breaking Bad mai multe episoade decât Game of Thrones?,ro,"Breaking Bad, episoade, mai multe decât, Game of Thrones"
Give me all cars that are produced in Germany.,en,"car, produce, Germany"
تمام خودروهایی که در آلمان تولید می شوند را لیست کن.,fa,خودرو، آلمان، تولید
"Gib mir alle Autos, die in Deutschland hergestellt werden.",de,"Auto, herstellen, Deutschland"
Dame todos los coches producidos en Alemania.,es,"coches, producidos, Alemania"
Dammi tutte le automobili che sono prodotte in Germania.,it,"automobile, produrre, Germania"
Donne-moi toutes les voitures qui sont produites en Allemagne.,fr,"voiture, produites, Allemagne"
Geef alle auto's die in Duitsland gemaakt worden.,nl,"auto, gemaakt, Duitsland"
Dă-mi toate mașinile care sunt produse în Germania.,ro,"mașină, produse, Germania"
What were the main discoveries of the Mars rover Curiosity?,en,"Mars rover Curiosity, main discoveries"
مهم ترین کشف های مریخ نورد کوریوسیتی چه بود؟,fa,کشف، مریخ نورد کوریوسیتی
Was waren die wichtigsten Entdeckungen des Marsrovers Curiosity?,de,"Marsrover Curiosity, wichtigste Entdeckungen"
¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?,es,"Mars rover Curiosity, principales descubrimientos"
Quali sono state le scoperte piu' importanti del Mars rover Curiosity?,it,"Mars rover Curiosity, scoperte piu' importanti"
Quelles sont les découvertes les plus importantes du Mars Rover Curiosity?,fr,"Mars Rover Curiosity, découvertes importantes"
Wat zijn de meest belangrijke ontdekkingen van de Mars rover Curiosity?,nl,"Mars rover Curiosity, meest belangrijke ontdekkingen"
Care au fost descoperirile principale ale Mars rover Curiosity?,ro,"Mars rover Curiosity, descoperiri principale"
Give me all people that were born in Vienna and died in Berlin.,en,"people, born, Vienna, die, Berlin"
تمام افرادی که در وین متولد شدند و در برلین مردند را لیست کن.,fa,افرادی، متولد، وین، برلین، مردند
"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind.",de,"Person, geboren, Wien, gestorben, Berlin"
Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,es,"personas, nacidas en Viena, muertas en Berlin"
Dammi tutte le persone che sono nate a Vienna e morte a Berlino.,it,"persona, nata, Vienna, morta, Berlino"
Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.,fr,"personnes, nées, Vienne, mortes, Berlin"
Noem alle personen die geboren zijn in Wenen en gestorven zijn in Berlijn.,nl,"persoon, geboren, Wenen, gestorven, Berlijn"
Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.,ro,"oameni, născut, Viena, murit, Berlin"
Is proinsulin a protein?,en,"proinsulin, protein"
آیا پروینسولین یک پروتئین است؟,fa,پروینسولین، پروتئین
Ist Proinsulin ein Protein?,de,"Proinsulin, Protein"
¿La proinsulina es una proteina?,es,"proinsulina, protein"
La proinsulina è una proteina?,it,"proinsulina, proteina"
La pro-insuline est-elle une protéine?,fr,"pro-insuline, protéine"
Is proinsuline een proteïne?,nl,"proinsuline, proteïne"
