questions,lang,keywords
Give me all cosmonauts.,en,cosmonauts
Gib mir alle Kosmonauten.,de,Kosmonauten
Dame todas las cosmonautas.,es,cosmonautas
Dammi tutte le cosmonaute.,it,cosmonaute
Donnes-moi tous les cosmonautes.,fr,cosmonautes
Geef alle kosmonauten.,nl,kosmonauten
Dă-mi toți cosmonauții.,ro,cosmonauți
In which country does the Ganges start?,en,"Ganges, start, country"
In welchem Land entspringt der Ganges?,de,"Ganges, entspringen, Land"
¿En qué país nace el Ganges?,es,"Ganges, país, orígen"
In quale stato nasce il Gange?,it,"Gange, stato, origine"
Dans quel pays commence le Gange?,fr,"pays, commence, Gange"
In welk land ontspringt de Ganges?,nl,"ontspringt, Ganges"
Din ce țară izvorăște Ganga?,ro,"Gangele, izvor, țară"
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,en,"movie, Worst Case Scenario, cinema, Netherlands"
Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?,de,"Film, Worst Case Scenario, Kino, Niederlande"
¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,es,"película, Worst Case Scenario, cines, páises bajos"
Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?,it,"film, Worst Case Scenario, cinema, Paesi Bassi"
Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?,fr,"Worst Case Scenario, cinémas néerlandais"
Wanneer komt de film Worst Case Scenario in Nederland in de bioscoop?,nl,"film, Worst Case Scenario, bioscoop, Nederland"
Când va fi filmul Worst Case Scenario în cinematografele din Olanda?,ro,"film, Worst Case Scenario, cinematograf, Olanda"
Which German cities have more than 250000 inhabitants?,en,"city, Germany, inhabitants, more than 250000"
Welche deutschen Städte haben mehr als 250000 Einwohner?,de,"Stadt, Deutschland, Einwohner, mehr als 250000"
¿Qué ciudades alemanas tienen más de 250000 habitantes?,es,"cuidad, Alemania, habitantes, más de 250000"
Quali città tedesche hanno più di 250000 abitanti?,it,"città, Germania, abitanti, più di 250000"
Quelles villes allemandes ont plus de 250000 habitants?,fr,"villes, Allemagne, habitants, plus de 250000"
Welke Duitse steden hebben meer dan 250000 inwoners?,nl,"stad, Duitsland, inwoners, meer dan 250000"
Ce orașe germane au mai mult de 250000 de locuitori?,ro,"oraș, Germania, locuitori, mai mult de 250000"
Who was John F. Kennedy's vice president?,en,"John F. Kennedy, vice president"
Wer war der Vizepräsident unter John F. Kennedy?,de,"John F. Kennedy, Vizepräsident"
¿Quién fué el vicepresidente de John F. Kennedy?,es,"John F. Kennedy, vicepresidente"
Chi fu il vicepresidente di John F. Kennedy?,it,"John F. Kennedy, vicepresidente"
Qui était le vice-président de John F. Kennedy?,fr,"John F. Kennedy, vice-président"
Wie was de vicepresident onder John F. Kennedy?,nl,"John F. Kennedy, vicepresident"
Cine a fost vicepreședintele lui John F. Kennedy?,ro,"John F. Kennedy, vicepreședinte"
Who is the mayor of Berlin?,en,"Berlin, mayor"
Wer ist der Bürgermeister von Berlin?,de,"Berlin, Bürgermeister"
¿Quién es el alcalde de Berlin?,es,"Berlin, alcalde"
Chi è il sindaco di Berlino?,it,"Berlino, sindaco"
Qui est le maire de Berlin?,fr,"Berlin, maire"
Wie is de burgemeester van Berlijn?,nl,"Berlijn, burgemeester"
Cine este primarul din Berlin?,ro,"Berlin, primar"
How many students does the Free University in Amsterdam have?,en,"Free University, Amsterdam, students"
Wieviele Studenten hat die Freie Universität in Amsterdam?,de,"Freie Universität, Amsterdam, Studenten"
¿Cuántos estudiantes tiene la Universidad Libre de Amsterdam?,es,"Universidad Libre, Amsterdam, estudiantes"
Quanti studenti ci sono nella Libera Università di Amsterdam?,it,"Libera Università, Amsterdam, studenti"
Combien d'étudiants a l'université libre d'Amsterdam?,fr,"Université libre, Amsterdam, étudiants"
Hoeveel studenten heeft de Vrije Universiteit in Amsterdam?,nl,"Vrije Universiteit, Amsterdam, studenten"
Câți studenți are Universitatea Liberă din Amsterdam?,ro,"Universitatea Liberă, Amsterdam, studenți"
What is the second highest mountain on Earth?,en,"mountain, second highest"
Was ist der zweithöchste Berg der Erde?,de,"Berg, zweithöchster"
¿Cuál es la segunda montaña más alta de la tierra?,es,"montaña, seguna más alta"
Qual è la seconda montagna più alta sulla Terra?,it,"montagna, seconda più alta"
Quelle est la deuxième plus haute montagne de la Terre?,fr,"montagne, deuxième plus haute"
