questions,lang,keywords
Which river does the Brooklyn Bridge cross?,en,"river, cross, Brooklyn Bridge"
Welchen Fluss überspannt die Brooklyn Bridge?,de,"Fluss, überspannen, Brooklyn Bridge"
¿Por qué río cruza la Brooklyn Bridge?,es,"río, cruza, Brooklyn Bridge"
Quale fiume attraversa il ponte di Brooklyn?,it,"fiume, attraversare, ponte di Brooklyn"
Quelle cours d'eau est traversé par le pont de Brooklyn?,fr,"cours d'eau, pont de Brooklyn"
Welke rivier overspant de Brooklyn Bridge?,nl,"rivier, Brooklyn Bridge, overspant"
Give me the websites of companies with more than 500000 employees.,en,"website, company, employee, more than 500000"
Gib mir alle Webseiten von Unternehmen mit mehr als 500000 Angestellten.,de,"Webseite, Unternehmen, Angestellte, mehr als 500000"
Dame todas las páginas de Web de empresas con más de 500000 empleados.,es,"página de Web, empreasas, empleados, más de 500000"
Dammi tutti i siti internet di aziende con più di 500000 dipendenti.,it,"sito internet, azienda, dipendenti, più di 500000"
Donnes-moi les sites webs de companies avec plus de 500000 employés.,fr,"sites webs, companies, plus de 500000 employés"
Geef me de websites van alle ondernemingen met meer dan 500000 werknemers.,nl,"website, onderneming, werknemers, meer dan 500000"
What is the official website of Tom Cruise?,en,"Tom Cruise, official website"
Was ist die offizielle Website von Tom Cruise?,de,"Tom Cruise, offizielle Website"
¿Cuál el la página de Web oficial de Tom Cruise?,es,"Tom Cruise, página de Web oficial"
Qual è il sito internet ufficiale di Tom Cruise?,it,"Tom Cruise, sito internet ufficiale"
Quel est le site web officiel de Tom Cruise?,fr,"site web officiel, Tom Cruise"
Wat is de officiële website van Tom Cruise?,nl,"officiële website, Tom Cruise"
Give me all movies with Tom Cruise.,en,"movie, Tom Cruise"
Gib mir alle Filme mit Tom Cruise.,de,"Film, Tom Cruise"
Dame todas las películas con Tom Cruise,es,"películas, Tom Cruise"
Dammi tutti i film con Tom Cruise.,it,"film, Tom Cruise"
Donnes-moi tous les films avec Tom Cruise.,fr,"films, Tom Cruise"
Noem alle films met Tom Cruise.,nl,"film, Tom Cruise"
Who created Wikipedia?,en,"Wikipedia, created"
Wer hat Wikipedia gegründet?,de,"Wikipedia, gründen"
¿Quién creó Wikipedia?,es,"Wikipedia, creador"
Chi ha creato Wikipedia?,it,"Wikipedia, creatore"
Qui est le créateur de Wikipedia?,fr,"créateur, Wikipedia"
Wie heeft Wikipedia opgericht?,nl,"Wikipedia, oprichter"
How many films did Hal Roach produce?,en,"Hal Roach, produce, film"
Wieviele Filme hat Hal Roach produziert?,de,"Hal Roach, produzieren, Film"
¿Cuántas películas ha producido Hal Roach?,es,"películas, producido, Hal Roach"
Quanti film ha prodotto Hal Roach?,it,"film, prodotto, Hal Roach"
Combien de films ont été produit par Hal Roach?,fr,"combien, films, Hal Roach"
Hoeveel films heeft Hal Roach geproduceerd?,nl,"Hal Roach, producent, film"
In which country does the Nile start?,en,"Nile, start, country"
In welchem Land entspringt der Nil?,de,"Nil, entspringen, Land"
¿En qué país nace el Nilo?,es,"Nilo, país, orígen"
In quale stato nasce il Nilo?,it,"Nilo, stato, origine"
Dans quel pays commence le Nil?,fr,"pays, commence, Nil"
In welk land ontspringt de Nijl?,nl,"ontspringt, Nijl"
Which states of Germany are governed by the Social Democratic Party?,en,"state, Germany, govern, Social Democratic Party"
Welche Bundesländer in Deutschland werden von der SPD regiert?,de,"Deutschland, Bundesland, regieren, SPD"
