questions,lang,keywords
List all the musicals with music by Elton John.,en,"musicals, music by, Elton John"
Liste alle Musicals mit Musik von Elton John auf.,de,"Musicals, Musik von, Elton John"
Dame todos los musicales con música de Elton John.,es,"musicales, música, Elton John"
Elenca tutti i musicals con musiche di Elton John.,it,"musicals, musiche, Elton John"
Donne-moi tous les musicals avec de la musique de de Elton John.,fr,"musicals, musique, Elton John"
Toen een lijst van alle musicals met muziek van Elton John.,nl,"musicals, muziek van, Elton John"
एल्टन जॉन द्वारा संगीत के साथ सभी संगीतों को सूचीबद्ध करें।,hi_IN,एल्टन जॉन का संगीत
Listează toate muzicalurile cu muzică de Elton John.,ro,"muzicaluri, muzică de Elton John"
How high is the lighthouse in Colombo?,en,"high, lighthouse in Colombo"
فانوس دریایی کولومبو چقدر بلند است؟,fa,فانوس دریایی کولومبو، بلند
Wie hoch ist der Leuchtturm in Colombo?,de,"hoch, Leuchtturm in Colombo"
¿Cómo de alta el faro de Colombo?,es,"alta, Faro de Colombo?"
Quanto è alto il faro di Colombo?,it,"altezza, faro di Colombo"
Quelle est la hauteur du phare de Colombo?,fr,"hauteur, Phare de Colombo"
Hoe hoog is de vuurtoren van Colombo?,nl,"hoog, vuurtoren van Colombo"
कोलंबो में लाइटहाउस कितना ऊँचा है?,hi_IN,"कोलंबो, लाइटहाउस"
Cât de înalt este farul din Colombo?,ro,"înalt, farul din Colombo"
Who was the wife of U.S. president Lincoln?,en,"U.S. president, Lincoln, wife"
Wer war die Frau von US-Präsident Lincoln?,de,"US-Präsident, Lincoln, Frau"
¿Quién fué la mujer del presidente americano Lincoln?,es,"presidente Americano, Lincoln, mujer"
Chi era la moglie del presidente degli Stati Uniti Lincoln?,it,"presidente degli Stati Uniti, Lincoln, moglie"
Qui était l'épouse du président américain Lincoln?,fr,"épouse, président américain Lincoln"
Wie was de vrouw van de Amerikaanse president Lincoln?,nl,"vrouw, president van America, Lincoln"
अमेरिकी राष्ट्रपति लिंकन की पत्नी कौन थी?,hi_IN,अमेरिकी राष्ट्रपति लिंकन
Who is the host of the BBC Wildlife Specials?,en,"host, BBC Wildlife Specials"
مجری مجموعه حیات وحش بی.بی.سی چه کسی است؟,fa,مجری، مجموعه حیات وحش بی.بی.سی
Wer moderiert die BBC Wildlife Specials?,de,"BBC Wildlife Specials, Moderator"
¿Quién es el anfitrión de los especiales de la BBC Wildlife?,es,"anfitrión, BBC Wildlife"
Chi è il presentatore degli speciali della BBC Wildlife?,it,"presentatore, speciali, BBC Wildlife"
Qui est le présentateur de BBC Wildlife Specials?,fr,"présentateur, BBC Wildlife Specials?"
Wie is de presentator van de BBC Wildlife Specials?,nl,"presentator, BBC Wildlife Specials"
बीबीसी वाइल्डलाइफ स्पेशल का मेजबान कौन है?,hi_IN,"बीबीसी वाइल्डलाइफ स्पेशल, मेजबान"
Cine este prezentatorul pentru BBC Wildlife Specials?,ro,"prezentator, BBC Wildlife Specials"
How much did Pulp Fiction cost?,en,"cost, Pulp Fiction"
پالپ فیکشن چقدر هزینه داشت؟,fa,پالپ فیکشن، هزینه
Wieviel hat Pulp Fiction gekostet?,de,"Kosten, Pulp Fiction"
¿Cuanto costo Pulp Fiction?,es,"costo, Pulp Fiction"
Quanto è costato Pulp Fiction?,it,"costo, Pulp Fiction"
Combien a coûté Pulp Fiction?,fr,"prix, Pulp Fiction"
Howeveel koste Pulp Fiction?,nl,"kosten, Pulp Fiction"
पल्प फिक्शन की लागत कितनी थी?,hi_IN,"पल्प फिक्शन, लागत"
Cât a costat Pulp Fiction?,ro,"cost, Pulp Fiction"
In what city is the Heineken brewery?,en,"city, Heineken brewery"
آبجوسازی هینکن در کدام شهر قرار دارد؟,fa,آبجوسازی هینکن، شهر
In welcher Stadt ist die Heinekenbrauerei?,de,"Stadt, Heinekenbrauerei"
